Tên nguyên liệu,Đơn vị,Tồn hiện tại,Mức tối thiểu
NL 1,kg,100,10
NL 2,kg,100,10
NL 3,kg,100,10
NL 4,kg,100,10
NL 5,kg,100,10
NL 6,kg,100,10
NL 7,kg,100,10
NL 8,kg,100,10
NL 9,kg,100,10
NL 10,kg,100,10
NL 11,kg,100,10
NL 12,kg,100,10
NL 13,kg,100,10
NL 14,kg,100,10
NL 15,kg,100,10
NL 16,kg,100,10
NL 17,kg,100,10
NL 18,kg,100,10
NL 19,kg,100,10
NL 20,kg,100,10
NL 21,kg,100,10
NL 22,kg,100,10
NL 23,kg,100,10
NL 24,kg,100,10
NL 25,kg,100,10
NL 26,kg,100,10
NL 27,kg,100,10
NL 28,kg,100,10
NL 29,kg,100,10
NL 30,kg,100,10
NL 31,kg,100,10
NL 32,kg,100,10
NL 33,kg,100,10
NL 34,kg,100,10
NL 35,kg,100,10
NL 36,kg,100,10
NL 37,kg,100,10
NL 38,kg,100,10
NL 39,kg,100,10
NL 40,kg,100,10
NL 41,kg,100,10
NL 42,kg,100,10
NL 43,kg,100,10
NL 44,kg,100,10
NL 45,kg,100,10
NL 46,kg,100,10
NL 47,kg,100,10
NL 48,kg,100,10
NL 49,kg,100,10
NL 50,kg,100,10
NL 51,kg,100,10
NL 52,kg,100,10
NL 53,kg,100,10
NL 54,kg,100,10
NL 55,kg,100,10
NL 56,kg,100,10
NL 57,kg,100,10
NL 58,kg,100,10
NL 59,kg,100,10
NL 60,kg,100,10
NL 61,kg,100,10
NL 62,kg,100,10
NL 63,kg,100,10
NL 64,kg,100,10
NL 65,kg,100,10
NL 66,kg,100,10
NL 67,kg,100,10
NL 68,kg,100,10
NL 69,kg,100,10
NL 70,kg,100,10
NL 71,kg,100,10
NL 72,kg,100,10
NL 73,kg,100,10
NL 74,kg,100,10
NL 75,kg,100,10
NL 76,kg,100,10
NL 77,kg,100,10
NL 78,kg,100,10
NL 79,kg,100,10
NL 80,kg,100,10
NL 81,kg,100,10
NL 82,kg,100,10
NL 83,kg,100,10
NL 84,kg,100,10
NL 85,kg,100,10
NL 86,kg,100,10
NL 87,kg,100,10
NL 88,kg,100,10
NL 89,kg,100,10
NL 90,kg,100,10
NL 91,kg,100,10
NL 92,kg,100,10
NL 93,kg,100,10
NL 94,kg,100,10
NL 95,kg,100,10
NL 96,kg,100,10
NL 97,kg,100,10
NL 98,kg,100,10
NL 99,kg,100,10
NL 100,kg,100,10

